"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
176,7356778,919597.25,958313.5,687395.252232143,639951.123037872
177,3002027,750506.75,897561,675804.308035714,641840.088801846
178,4388035,626862.142857143,754179,626862.142857143,643888.919966945
179,983406,327802,45158,621253.301130022,645620.9401646
180,1744465,436116.25,396059,621918.294677734,647425.568441557
181,2613278,373325.428571429,127746,631318.397338867,649291.903421639
182,2562874,640718.5,804770,640718.5,651209.400161586
183,2551892,1275946,1275946,667271.096354167,653167.880600167
184,3699738,924934.5,896302,693823.692708333,655157.541442064
185,774090,258030,7166,678776.34375,657168.959656355
186,0,0,NA,691591.280208333,659193.095770936
187,2930951,976983.666666667,986338,704406.216666667,661221.295143983
188,3956528,791305.6,757511,714418.965527344,663245.287391882
189,1816649,908324.5,908324.5,713927.350016276,665257.18414998
190,7259141,1037020.14285714,998557,713435.734505208,667249.475338208
191,2753445,688361.25,742189,688361.25,669215.02409833
192,2902320,580464,666967,667323.71875,671147.060563311
193,6275422,784427.75,775362.5,646286.1875,673506.731379455
194,1846945,923472.5,923472.5,712108.375,675789.332198547
195,3198945,639789,939075,639789,677555.881601809
196,6043026,863289.428571429,753119,714050,679262.782781403
197,4729866,788311,902593,704004.85,680905.134660964
198,1185249,296312.25,81859,693959.7,682478.344029289
199,2998042,599608.4,825996,677059.498611111,683978.114879892
200,2061850,515462.5,440078,660159.297222222,685400.437621395
201,3613062,903265.5,880715.5,720710.194444444,686741.578239513
202,8333621,925957.888888889,909696,639516.233585859,687998.067482956
203,6141545,558322.272727273,807767,675137.116792929,689166.690137428
204,3553790,710758,827694,710758,690244.474444055
205,2528131,632032.75,583452.5,632032.75,691228.681711091
206,6106,6106,6106,626762.875,692116.79616074
207,1242986,621493,621493,621493,692906.515046219
208,1781504,445376,384849.5,586168.666666667,693755.329950969
209,1618490,323698,102736,550844.333333333,694437.030690664
210,1968938,656312.666666667,703438,656312.666666667,694867.085596149
211,42592,42592,42592,584342.237467448,695190.769631835
212,0,0,NA,548596.84366862,695406.78942117
213,813245,271081.666666667,6267,531275.92183431,695514.008458619
214,3597685,513955,695983,562067.960917155,695511.43982176
215,3557160,592860,738335.5,592860,695398.239247126
216,1901381,475345.25,495783,655747.071428571,695173.698563817
217,5030439,718634.142857143,826036,718634.142857143,694837.239476745
218,5756870,822410,912503,719547.404761905,694388.407689462
219,2161382,720460.666666667,753944,720460.666666667,693826.867355045
220,6383819,911974.142857143,919416,760278.157459077,693152.395842201
221,1867276,266753.714285714,168044,800095.648251488,692364.878802833
222,3042227,1014075.66666667,1008776,794056.869915675,691464.305526518
223,7022336,780259.555555556,1009916,780259.555555556,690183.270542256
224,3908545,1302848.33333333,867206,719961.277777778,688719.065624149
225,3298315,659663,749446,659663,687424.107796729
226,6114277,1019046.16666667,1039513,698981.25,686017.216619806
227,4429797,738299.5,841298.5,738299.5,684498.879726133
228,6584155,940593.571428571,990650,752646.375,682869.66412903
229,1877019,938509.5,938509.5,766993.25,681130.213242416
230,4173492,695582,820013.5,695582,679281.244060123
231,3199285,799821.25,766252.5,710289.090625,677323.544481016
232,3165613,633122.6,733223,724996.18125,675257.970767115
233,3495913,873978.25,936092.5,696107.903125,673085.445122481
234,2084407,347401.166666667,123234,667219.625,670806.953381349
235,5525532,460461,576133.5,749071.979166667,668423.542794638
236,2492773,830924.333333333,856356,678147.822916667,665936.319904666
237,3643342,607223.666666667,740066.5,673622.203125,663346.448498581
238,5344987,890831.166666667,914620,669096.583333333,659969.741914539
239,1919178,479794.5,495968,730969.5,656430.813616307
240,3426647,571107.833333333,733060.5,680020.547916667,653491.618028886
241,4720141,524460.111111111,758318,683527.953125,650455.667737288
242,1646738,329347.6,164700,687035.358333333,647324.407531515
243,2771529,923843,895349,708194.057291667,644099.327517061
244,2448900,489780,693989,729352.75625,640781.961422908
245,4244290,707381.666666667,792877,707381.666666667,637373.884933514
246,5131703,466518.454545455,609132,708202.159244792,633876.714041013
247,4134167,826833.4,789116,706590.778580729,630292.103414321
248,1979067,989533.5,989533.5,704979.397916667,626621.744782271
249,2678368,669592,727184.5,669592,622867.365328316
250,2983914,745978.5,734239.5,653763.09375,619030.726094694
251,1010879,505439.5,505439.5,637934.1875,615113.620394333
252,4239119,529889.875,703779,529889.875,611117.872229061
253,164846,164846,164846,530635.6375,607045.334713003
254,2656907,531381.4,712944,531381.4,601851.811727911
255,991247,330415.666666667,107129,532111.382291667,596540.442835129
256,2245030,449006,398652,532841.364583333,592214.11932988
257,1854714,463678.5,433308.5,541954.883333333,587819.663679626
258,3641842,606973.666666667,870661,606973.666666667,583359.061105588
259,1580342,526780.666666667,643108,526780.666666667,578834.315782798
260,3442379,688475.8,730201,534623.345833333,574247.449290394
261,899538,449769,449769,542466.025,569600.499066346
262,1585825,396456.25,397869.5,615208.2625,564895.516867219
263,5503604,687950.5,764179,620401.9140625,560134.567233715
264,0,0,NA,618840.70703125,555319.725962767
265,4508229,751371.5,758808.5,617279.5,550453.078587078
266,1544694,514898,738789,514898,545536.718863016
267,872472,290824,137063,443416.125,540572.74726786
268,854077,854077,854077,448230.3125,535563.269507392
269,1812178,453044.5,459296,453044.5,529241.916773412
270,2386686,477337.2,637069,477337.2,522854.334170335
271,1972722,394544.4,249974,448307.244791667,517702.208154932
272,1117237,139654.625,97067.5,489182.955729167,512514.076949431
273,1590176,530058.666666667,655423,494227.01953125,507292.048903893
274,1658200,829100,829100,499271.083333333,502038.228222874
275,936967,468483.5,468483.5,468483.5,496754.713585152
276,984805,196961,134119,491877.062304688,491443.596783043
277,2758536,689634,838581,502589.169824219,486106.96138238
278,3248234,649646.8,805280,497052.334912109,480746.881404176
279,2949093,491515.5,439230,491515.5,475365.420029003
280,814447,407223.5,407223.5,455047.234375,469964.628325074
281,1092587,1092587,1092587,418578.96875,464546.544000989
282,1441795,360448.75,327844.5,429934.4375,459113.190184087
283,1904131,476032.75,430798.5,476032.75,453666.57422528
284,2881098,480183,374088,480183,446842.960167751
285,1129721,376573.666666667,205917,432668.416666667,440005.029724277
286,2709104,677276,835448.5,413201.208333333,434527.549320518
287,1181202,393734,217628,408539.354166667,429045.613979643
288,3245893,649178.6,808781,411280.177083333,423561.124181692
289,828042,414021,414021,414021,418075.957563667
290,1775690,443922.5,372952,443922.5,412591.967947965
291,1264595,316148.75,271077,459062.083333333,407110.9844034
292,1422605,474201.666666667,641572,474201.666666667,401634.810339322
293,1664212,416053,372637,416053,396165.222633301
294,204725,51181.25,63285,390131.04288737,390703.970792825
295,3607121,901780.25,744445,364209.08577474,385252.776151355
296,689065,229688.333333333,70628,369483.995768229,379813.331099125
297,793615,396807.5,396807.5,379077.901901972,374387.298348933
298,2265511,566377.75,679828,379807.0089867,368976.310237208
299,995820,497910,497910,380536.116071429,363581.968060531
300,3248529,464075.571428571,692203,360663.035714286,359547.475284656
