"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
261,331697.44,30154.3127272727,36250,44117.8490550563,46913.8065980008
262,565915,43531.9230769231,45112,43930.8457324902,46543.2992346709
263,289304,36163,36763,43943.3037377076,46175.1178834559
264,283698,35462.25,34234.5,44035.5462740385,45809.2536760705
265,535803,44650.25,39521.5,44650.25,45445.697724519
266,497154,45195.8181818182,40198,45195.8181818182,45084.4411217044
267,433707,54213.375,49001,46268.9564123377,44725.4749420339
268,260467,26046.7,22944,46034.5771224381,44368.7902420228
269,98861,16476.8333333333,11569,45800.1978325386,43926.0583794902
270,768529,54894.9285714286,51163.5,44878.8499365869,43487.0011194669
271,349291,31753.7272727273,19748,42893.8392857143,43138.230924046
272,247142,30892.75,25886,41106.6974206349,42791.7017572067
273,353876,39319.5555555556,30672,39319.5555555556,42447.4045877017
274,439671,39970.0909090909,35261,39970.0909090909,42105.3303702365
275,262732,32841.5,33084,42063.3787878788,41765.4700460479
276,397410,44156.6666666667,35924,42366.0539772727,41427.8145434795
277,1402981,140298.1,38749,42668.7291666667,41092.3547785536
278,321669,53611.5,36484,41180.7916666667,40759.0816555397
279,66955,33477.5,33477.5,39970.9709821429,40427.986067519
280,204536,34089.3333333333,26103.5,39929.1045386905,40099.0588969453
281,364714,33155.8181818182,34248,39887.2380952381,39772.2910162023
282,319796,45685.1428571429,44634,41250.6026785714,39447.6732881572
283,233758,33394,14802,42613.9672619048,39125.1965667105
284,429329,53666.125,43196.5,39542.7916666667,38725.0312458739
285,548299,45691.5833333333,43948,39000.2916666667,38328.3115711641
286,211989,35331.5,24491.5,38457.7916666667,38013.2562305822
287,218568,31224,19634,37152.1101190476,37700.3006427341
288,250925,35846.4285714286,35224,35846.4285714286,37389.4356218586
289,338297,33829.7,30077.5,40593.2142857143,37080.6519767074
290,272040,45340,42973,37609.7350595238,36773.9405110655
291,129075,18439.2857142857,19332,34626.2558333333,36469.2920242688
292,143475.07,23912.5116666667,23035,36017.9998295454,36166.6973117165
293,346240,57706.6666666667,32937,37409.7438257576,35866.1471653801
294,453448.44,41222.5854545455,26353,37490.157165404,35567.6323743081
295,244880,27208.8888888889,25356,37570.5705050505,35271.1437251276
296,305267,33918.5555555556,22958,35525.9995382395,34976.6720025405
297,234370,33481.4285714286,17602,33481.4285714286,34684.207989817
298,294898,36862.25,24210.5,34399.130952381,34393.7424692845
299,211901,35316.8333333333,30980,35316.8333333333,34105.2662228122
300,258524,25852.4,25628.5,30615.7152777778,33890.1472930723
