"rank_total","sum_total","sum_mean","sum_median","test_para"
"239",239,64925,4994.23076923077,3077,5224.51922621649
"240",240,43937,3994.27272727273,1473,5297.08172166375
"241",241,119832,10893.8181818182,4650,5519.92662805944
"242",242,36020,6003.33333333333,2771.5,5583.46972428613
"243",243,93684,6691.71428571429,3406,5647.01282051282
"244",244,68779,5290.69230769231,2964,5290.69230769231
"245",245,107976,10797.6,2252.5,5224.11057692308
"246",246,21336,2667,1232,5157.52884615385
"247",247,48060,5340,2242,5340
"248",248,42408,3534,1230.5,5066.26785714286
"249",249,20104,4020.8,1024,4792.53571428571
"250",250,64254,4589.57142857143,865.5,4904.67142857143
"251",251,154057,8108.26315789474,3987,5174.35714285714
"252",252,120942,5759.14285714286,2304,5759.14285714286
"253",253,48954,4079.5,1604,5928.63392857143
"254",254,83799,8379.9,2274.5,5306.34821428571
"255",255,97401,8116.75,2833.5,5509.82609577922
"256",256,35970,3270,1758,5713.30397727273
"257",257,74168,6742.54545454545,1142,6197.64805506993
"258",258,74635,6785,1621,6192.21552148566
"259",259,98629,7586.84615384615,4246,6186.78298790138
"260",260,76218,6928.90909090909,3094,6147.48459758625
"261",261,227675,20697.7272727273,4352,5668.08845263928
"262",262,67453,5188.69230769231,2062,5188.69230769231
"263",263,52625,6578.125,1363.5,5167.90170940171
"264",264,46324,5147.11111111111,1857,5147.11111111111
"265",265,51502,4291.83333333333,1382.5,5023.13888888889
"266",266,85201,7745.54545454545,1648,4498.03611111111
"267",267,44052,5506.5,3027,3972.93333333333
"268",268,30467,3046.7,692,3046.7
"269",269,90609,15101.5,1301,2988.99761431805
"270",270,33857,2418.35714285714,1886,2980.81621771478
"271",271,21034,1912.18181818182,871,2972.63482111151
"272",272,21884,2735.5,899.5,3133.34483753551
"273",273,21289,2365.44444444444,1465,3492.97727272727
"274",274,46755,4250.45454545455,2357,4250.45454545455
"275",275,35392,4424,3953,4424
"276",276,48517,5390.77777777778,1585,4208.2
"277",277,39924,3992.4,1003,3992.4
"278",278,9893,1413.28571428571,968,2799.77142857143
"279",279,24396,12198,12198,2743.72391183036
"280",280,10806,1801,1250,2849.15186941964
"281",281,17021,1547.36363636364,564,2954.57982700893
"282",282,16840,2405.71428571429,1381,3221.48325892857
"283",283,28185,4026.42857142857,2158,3417.99162946429
"284",284,28916,3614.5,3466,3614.5
"285",285,17797,1483.08333333333,966,3746.75595238095
"286",286,28403,4733.83333333333,2666,3665.30654761905
"287",287,25087,3583.85714285714,1326,3583.85714285714
"288",288,13321,1903,901,3376.81770833333
"289",289,25974,2597.4,1099.5,3312.8728422619
"290",290,18090,3015,848.5,3378.95725446429
"291",291,14675,1834.375,1248,3445.04166666667
"292",292,36670,6111.66666666667,411,3407.30499188312
"293",293,19121,3186.83333333333,1645,3415.25206304113
"294",294,45835,4166.81818181818,1088,3423.19913419913
"295",295,22725,2065.90909090909,1123,3535.1540922619
"296",296,86316,9590.66666666667,1739,3555.48641056209
"297",297,29671,4238.71428571429,2347,3561.11011968175
"298",298,37710,4713.75,3878,3566.73382880141
"299",299,55320,9220,5231.5,3545.8820413961
"300",300,32768,3276.8,1218,3411.34102069805
